dataset,tas_bias,pr_bias,tas_change,pr_change,project,member,model
CMIP6_CanESM5_r22i1p2f1,2.89,1.45152,3.07,0.14860800000000002,CMIP6,r22i1p2f1,CanESM5
CMIP6_CanESM5_r23i1p1f1,2.92,1.45152,3.65,0.150336,CMIP6,r23i1p1f1,CanESM5
CMIP6_CanESM5_r23i1p2f1,2.84,1.44288,3.66,0.163296,CMIP6,r23i1p2f1,CanESM5
CMIP6_CanESM5_r24i1p1f1,2.92,1.44288,3.2,0.163296,CMIP6,r24i1p1f1,CanESM5
CMIP6_CanESM5_r24i1p2f1,2.93,1.4601600000000001,3.49,0.175392,CMIP6,r24i1p2f1,CanESM5
CMIP6_CanESM5_r25i1p1f1,2.91,1.4601600000000001,3.34,0.144288,CMIP6,r25i1p1f1,CanESM5
CMIP6_CanESM5_r25i1p2f1,2.89,1.44288,3.47,0.19872,CMIP6,r25i1p2f1,CanESM5
CMIP6_CanESM5_r2i1p1f1,2.85,1.44288,3.57,0.210816,CMIP6,r2i1p1f1,CanESM5
CMIP6_CanESM5_r2i1p2f1,3.0,1.4687999999999999,3.41,0.16070399999999999,CMIP6,r2i1p2f1,CanESM5
CMIP6_CanESM5_r3i1p1f1,2.93,1.4687999999999999,3.53,0.176256,CMIP6,r3i1p1f1,CanESM5
CMIP6_CanESM5_r3i1p2f1,2.95,1.4687999999999999,3.51,0.20304,CMIP6,r3i1p2f1,CanESM5
CMIP6_CanESM5_r4i1p1f1,2.84,1.45152,3.3,0.16848,CMIP6,r4i1p1f1,CanESM5
CMIP6_CanESM5_r4i1p2f1,2.98,1.4774399999999999,3.4,0.15552,CMIP6,r4i1p2f1,CanESM5
CMIP6_CanESM5_r5i1p1f1,2.92,1.45152,3.37,0.18489599999999998,CMIP6,r5i1p1f1,CanESM5
CMIP6_CanESM5_r5i1p2f1,2.95,1.45152,3.55,0.196128,CMIP6,r5i1p2f1,CanESM5
CMIP6_CanESM5_r6i1p1f1,2.97,1.4687999999999999,3.38,0.15552,CMIP6,r6i1p1f1,CanESM5
CMIP6_CanESM5_r6i1p2f1,2.88,1.4687999999999999,3.49,0.16588799999999998,CMIP6,r6i1p2f1,CanESM5
CMIP6_CanESM5_r7i1p1f1,2.89,1.45152,3.55,0.18921600000000002,CMIP6,r7i1p1f1,CanESM5
CMIP6_CanESM5_r7i1p2f1,3.1,1.4601600000000001,3.58,0.186624,CMIP6,r7i1p2f1,CanESM5
CMIP6_CanESM5_r8i1p1f1,2.91,1.45152,3.21,0.16761600000000001,CMIP6,r8i1p1f1,CanESM5
